Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
71,Alicia Silverstone,"October 4, 1976",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Soundtrack']",15 wins & 20 nominations,Clueless (1995),"San Francisco, California, USA"
72,Christina Ricci,"February 12, 1980",5′ 0¾″ (1.55 m),"['Actress', 'Producer', 'Soundtrack']",23 wins & 50 nominations total,Casper (1995),"Santa Monica, California, USA"
73,Jessica Barden,"July 21, 1992",5′ 2″ (1.57 m),['Actress'],1 win & 3 nominations,Hanna (2011),"Northallerton, North Yorkshire, England, UK"
74,Alexander Skarsgård,"August 25, 1976",6′ 4½″ (1.94 m),"['Actor', 'Producer', 'Director']",13 wins & 39 nominations total,The Legend of Tarzan (2016),"Stockholm, Stockholms län, Sweden"
75,Ana de Armas,"April 30, 1988",5′ 6¼″ (1.68 m),"['Actress', 'Producer']",11 wins & 34 nominations total,Blade Runner 2049 (2017),"Havana, Cuba"
76,Ryan Reynolds,"October 23, 1976",6′ 2″ (1.88 m),"['Actor', 'Producer', 'Writer']",21 wins & 63 nominations total,Deadpool 2 (2018),"Vancouver, British Columbia, Canada"
77,Emma Mackey,"January 4, 1996",5′ 8½″ (1.74 m),['Actress'],2 wins & 5 nominations total,Barbie (2023),"Le Mans, France"
78,George Parker,,,['Actor'],,Bodies (2023– ),
79,Tom Hardy,"September 15, 1977",5′ 9″ (1.75 m),"['Actor', 'Producer', 'Writer']",22 wins & 86 nominations total,Inception (2010),"Hammersmith, London, England, UK"
80,Margaret Qualley,"October 23, 1994",5′ 8″ (1.73 m),"['Actress', 'Additional Crew', 'Producer']",18 nominations total,Once Upon a Time in Hollywood (2019),"Kalispell, Montana, USA"
81,Jackie Tohn,August 25,5′ 4″ (1.63 m),"['Actress', 'Writer', 'Producer']",5 nominations,A Futile and Stupid Gesture (2018),"Oceanside, New York, USA"
82,Reign Edwards,"December 1, 1996",5′ 5″ (1.65 m),"['Actress', 'Soundtrack']",4 nominations,The Wilds (2020–2022),"Harford County, Maryland, USA"
83,Eliza Taylor,"October 24, 1989",5′ 5″ (1.65 m),"['Actress', 'Producer', 'Writer']",6 nominations,The 100 (2014–2020),"Melbourne, Victoria, Australia"
84,Richard Moll,"January 13, 1943",6′ 8″ (2.03 m),"['Actor', 'Soundtrack']",1 nomination,House (1985),"Pasadena, California, USA"
85,Antony Starr,"October 25, 1975",5′ 11″ (1.80 m),['Actor'],8 wins & 15 nominations,Outrageous Fortune (2005–2010),New Zealand
86,Mckenna Grace,"June 25, 2006",5′ 0¾″ (1.54 m),"['Actress', 'Producer', 'Additional Crew']",3 wins & 12 nominations total,Gifted (2017),"Grapevine, Texas, USA"
87,Anya Taylor-Joy,"April 16, 1996",5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",19 wins & 44 nominations total,The Queen's Gambit (2020– ),"Miami, Florida, USA"
88,Zahn McClarnon,"October 24, 1966",5′ 6″ (1.68 m),"['Actor', 'Additional Crew', 'Producer']",9 wins & 4 nominations,Into the West (2005– ),"Denver, Colorado, USA"
89,Thora Birch,"March 11, 1982",5′ 4″ (1.63 m),"['Actress', 'Producer', 'Director']",17 wins & 27 nominations total,Ghost World (2001),"Los Angeles, California, USA"
90,Brad Pitt,"December 18, 1963",5′ 11″ (1.80 m),"['Producer', 'Actor', 'Executive']",120 wins & 224 nominations total,Fight Club (1999),"Shawnee, Oklahoma, USA"
91,Keanu Reeves,"September 2, 1964",6′ 1″ (1.86 m),"['Actor', 'Producer', 'Additional Crew']",13 wins & 37 nominations,The Matrix (1999),"Beirut, Lebanon"
92,Mark Hamill,September 25,5′ 9″ (1.75 m),"['Actor', 'Producer', 'Director']",26 wins & 32 nominations total,Star Wars: Episode IV - A New Hope (1977),"Oakland, California, USA"
93,Erik Jensen,"July 20, 1970",,"['Actor', 'Director', 'Writer']",,For Life (2020–2021),"Becker County, Minnesota, USA"
94,Gugu Mbatha-Raw,"April 21, 1983",5′ 4″ (1.63 m),"['Actress', 'Producer', 'Soundtrack']",10 wins & 30 nominations total,Belle (2013),"Oxford, Oxfordshire, England, UK"
95,Miles Robbins,"May 4, 1992",6′ 1½″ (1.87 m),['Actor'],1 win,Blockers (2018),"New York City, New York, USA"
96,Henry Cavill,"May 5, 1983",6′ 1″ (1.85 m),"['Actor', 'Additional Crew', 'Producer']",3 wins & 15 nominations,Man of Steel (2013),"Jersey, Channel Islands"
97,Juno Temple,"July 21, 1989",5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",6 wins & 19 nominations total,Atonement (2007),"London, England, UK"
98,Miles McKenna,"November 2, 1995",5′ 7½″ (1.71 m),"['Actor', 'Producer']",1 win,Nocturne (2020),
99,Pom Klementieff,"May 3, 1986",5′ 7″ (1.70 m),"['Actress', 'Writer']",1 win,Guardians of the Galaxy Vol. 2 (2017),"Quebec City, Quebec, Canada"
100,David Fincher,"August 28, 1962",6′ 0½″ (1.84 m),"['Producer', 'Director', 'Writer']",72 wins & 150 nominations total,Se7en (1995),"Denver, Colorado, USA"
