meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,peakf,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx
-0.02535374755859375,0.06544603729248047,-0.02492982177734375,-0.030541699981689454,-0.020260026550292968,0.010281673431396486,20.227871391278068,0.0,0.1673015020787716,0.1673015020787716,0.0,0.20227871391278068,0.5631560891416674,0.39370193481445315,0.13027587890625,0.97437744140625,0.22627277027940582,0.14280667626556787,0.4060546039741698,0.26324792770860195,-300.36370840853345
-0.025997015380859374,0.045196678161621096,-0.025266351318359376,-0.030003373718261717,-0.022108625793457033,0.007894747924804685,18.83337141144642,0.0,0.07998672313988209,0.07998672313988209,0.0,0.1883337141144642,0.435684606743167,0.3956031454763105,0.19918212890625,0.84733154296875,0.23120803616054164,0.1562829619798975,0.3616513461841081,0.2053683842042106,-401.0960253425844
-0.023953907775878906,0.0403482551574707,-0.023920074462890625,-0.026449461364746095,-0.02158017120361328,0.004869290161132814,17.374258599258493,0.0,0.07407573983073235,0.07407573983073235,0.0,0.17374258599258494,0.5641559899056445,0.34284627685546876,0.1485791015625,0.968994140625,0.20864656808116797,0.13096623193709112,0.38230053443763995,0.25133430250054883,-291.97304577999176
-0.030150552368164062,0.04201705551147461,-0.03141439819335937,-0.03293998260498047,-0.02890373077392578,0.004036251831054688,15.10274821090126,0.0,0.0788593664765358,0.0788593664765358,0.0,0.1510274821090126,0.23362452573688353,0.2997601318359375,0.14750244140625,0.66860595703125,0.20726617587103388,0.16357663741311318,0.2867000252480788,0.12312338783496563,-578.5904616667603
-0.023122610473632812,0.055970684051513675,-0.021956846618652343,-0.027843600463867187,-0.019346531677246093,0.008497068786621095,19.136348696408632,0.0,0.13393685221672058,0.13393685221672058,0.0,0.1913634869640863,0.4888867370237073,0.389893344847624,0.1744189453125,0.882861328125,0.21989076583408987,0.14032103154411393,0.3647641815629356,0.22444315001882167,-326.38660580746995
-0.024750347900390626,0.03916101455688477,-0.024673661804199217,-0.027842120361328125,-0.022183537673950194,0.005658582687377931,19.46331645968444,0.0,0.13899760320782661,0.13899760320782661,0.0,0.19463316459684438,0.5360476679773842,0.39956708908081057,0.1550390625,0.9496142578125,0.2254956631336719,0.14506710910732007,0.3717464839496519,0.2266793748423318,-311.4915749497631
-0.023874510192871092,0.052125530242919924,-0.02308345184326172,-0.0289220458984375,-0.01981882781982422,0.009103218078613279,19.006641552881973,0.0,0.09853716008365154,0.09853716008365154,0.0,0.19006641552881973,0.4859545741090382,0.3905393969918799,0.167958984375,0.788115234375,0.22312239975210196,0.14849850530143602,0.3194343520094716,0.1709358467080356,-384.9757249543336
-0.025393650817871094,0.043153339385986325,-0.025242807006835937,-0.029807069396972655,-0.021656232833862303,0.008150836563110352,16.6738954927769,0.0,0.04998087417334318,0.04998087417334318,0.0,0.166738954927769,0.49894503020372294,0.308391357421875,0.1614990234375,0.82149169921875,0.20332864553486887,0.14536879944636064,0.3365833044388334,0.19121450499247275,-384.7565548786127
-0.024085325622558593,0.04644914627075195,-0.023437344360351563,-0.02737591552734375,-0.02034278564453125,0.007033129882812499,22.063795216741482,0.0,0.16783662140369415,0.16783662140369415,0.0,0.22063795216741483,0.6202888380469805,0.4169512513626453,0.09797607421875,0.9151611328125,0.22176281386643582,0.11986941898236692,0.3585904873808653,0.23872106839849838,-294.7352667461363
-0.025030473327636717,0.04084995651245117,-0.02464283447265625,-0.027940079498291016,-0.02173240089416504,0.006207678604125976,18.09423443472646,0.0,0.11079390533268452,0.11079390533268452,0.0,0.18094234434726458,0.47623278221938947,0.33957441850142045,0.10443603515625,0.83010498046875,0.21002170851066854,0.13264791608976853,0.3431844095042114,0.2105364934144429,-344.929647180336
-0.024498829650878906,0.04337876892089844,-0.024505084228515626,-0.028218389892578126,-0.021000445556640625,0.0072179443359375005,20.308008367893095,0.0,0.17876628786325455,0.17876628786325455,0.0,0.20308008367893096,0.6665542671176907,0.40205785350867435,0.13888916015625,0.934541015625,0.21451678667327215,0.13421672527310724,0.35304493957164623,0.218828214298539,-307.9089111964136
-0.025401638793945313,0.04272273635864258,-0.025810604858398437,-0.028301531982421874,-0.02266841735839844,0.005633114624023435,17.85274708891185,0.0,0.1180962473154068,0.1180962473154068,0.0,0.1785274708891185,0.49113902203313353,0.3601027811854339,0.1485791015625,0.813955078125,0.21255640414579274,0.14694923725168366,0.3417815119107449,0.19483227465906125,-381.76368983407815
